Song,URL
Are You Ready Disturbed,https://www.youtube.com/watch?v=55NJzOSuKuY
Without Me Project Vela,https://www.youtube.com/watch?v=1-7JL0AxkS8
Four Walls While She Sleeps,https://www.youtube.com/watch?v=T1IOW2rR0OY
Heroes Motörhead,https://www.youtube.com/watch?v=J06yQb4lbPk
Soul Decay Make Them Suffer,https://www.youtube.com/watch?v=Xr2ZfoABjws
The Happiness Machine Mark Deutrom,https://www.youtube.com/watch?v=wtDfQFs6o0M
Perennial Victoria,https://www.youtube.com/watch?v=67rHgA2JBR4
Switchback Celldweller,https://www.youtube.com/watch?v=y5yw3yMfP5E
Puritania Dimmu Borgir,https://www.youtube.com/watch?v=Zl9TlzGI6ts
Kilimanjaro Wig Wam,https://www.youtube.com/watch?v=ECjcWp-VoI4
Nothin' But A Good Time - Remastered 2006 Poison,https://www.youtube.com/watch?v=71Tzgyvjto0
Under My Skin Apate,https://www.youtube.com/watch?v=tnCO0hudaBE
Shesmovedon Porcupine Tree,https://www.youtube.com/watch?v=kuUV_R93Gv4
Gravity Skarlett Riot,https://www.youtube.com/watch?v=jdI9sAVAvfo
Switch Me On DK-Zero,https://www.youtube.com/watch?v=C6dR0FZaSuA
A Tout Le Monde - Remastered 2004 Megadeth,https://www.youtube.com/watch?v=n9QqkcDRYFw
Woven Warish,https://www.youtube.com/watch?v=d3qUrrqtUXU
Until It Sleeps Metallica,https://www.youtube.com/watch?v=eRV9uPr4Dz4
Erase Me Make Them Suffer,https://www.youtube.com/watch?v=TwZmtvD-Xgo
Planet Caravan Pantera,https://www.youtube.com/watch?v=kWChhdIgT6Q
Rock And Roll All Nite KISS,https://www.youtube.com/watch?v=EFMD7Usflbg
Descending Upon Hades Mendel,https://www.youtube.com/watch?v=NmrK41BCWf8
In the End Linkin Park,https://www.youtube.com/watch?v=eVTXPUF4Oz4
Born in Dissonance Meshuggah,https://www.youtube.com/watch?v=xtO3VCu5wv4
Trilogy Silent Planet,https://www.youtube.com/watch?v=928l9OH9DW4
Juno TesseracT,https://www.youtube.com/watch?v=UbQbAPvhs_8
